workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
1,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,39ZSFO5CA8WMF2BTWYJURW29FVCJUA,1,Approved,Fri May 19 02:06:57 PDT 2017,Thu May 18 09:22:04 PDT 2017,Thu May 18 09:26:57 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.7873833333333335,[]
2,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3EJPLAJKEMGRD6QWI2ODZKCJV77Z69,2,Approved,Fri May 19 02:07:37 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:27:37 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,5.268,[]
3,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,37Z929RLG980ESFUJN2YE17US0ITS9,3,Approved,Fri May 19 02:07:48 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:27:48 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,4.04175,[]
4,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3T3IWE1XG6NO1C0HRJDTJ1STACXTQK,4,Approved,Fri May 19 02:08:44 PDT 2017,Thu May 18 09:22:00 PDT 2017,Thu May 18 09:28:44 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,6.442366666666667,[]
5,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3TMSXRD2X60SCPKU19SP5KRK6UO1WO,5,Approved,Fri May 19 02:09:01 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:29:01 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,4.767283333333333,[]
6,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3EO896NRAWV7FPW4WTTKM0G7WH5JTJ,6,Approved,Fri May 19 02:09:09 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:29:09 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,6.996716666666667,[]
7,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,34X6J5FLPTYUN94CFPZPHV5KCA6JQ5,7,Approved,Fri May 19 02:09:23 PDT 2017,Thu May 18 09:22:00 PDT 2017,Thu May 18 09:29:23 PDT 2017,Thu May 18 09:32:34 PDT 2017,,,,,1,6.980666666666667,[]
8,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,30BXRYBRP4X3G0583YVAX77RNJJWHH,8,Approved,Fri May 19 02:09:26 PDT 2017,Thu May 18 09:22:04 PDT 2017,Thu May 18 09:29:26 PDT 2017,Thu May 18 09:32:34 PDT 2017,,,,,1,7.268433333333333,[]
9,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3A1PQ49WVHHAFZP56A6P4HHXR6AH13,9,Approved,Fri May 19 02:10:12 PDT 2017,Thu May 18 09:22:02 PDT 2017,Thu May 18 09:30:12 PDT 2017,Thu May 18 09:32:34 PDT 2017,,,,,1,8.11715,[]
10,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3Z4AIRP3C6D71PPKBEOB735RFWU1XH,10,Approved,Fri May 19 02:10:17 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:30:17 PDT 2017,Thu May 18 09:32:34 PDT 2017,,,,,1,3.5928166666666668,[]
11,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3NPI0JQDAO5310Z2R6Y4JW2J5GBTPT,11,Approved,Fri May 19 02:11:47 PDT 2017,Thu May 18 09:22:00 PDT 2017,Thu May 18 09:31:47 PDT 2017,Thu May 18 09:33:58 PDT 2017,,,,,1,8.406083333333333,[]
12,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,36DSNE9QZ5YR2XRW0C7LSQAKX9OOJ2,12,Approved,Fri May 19 02:11:59 PDT 2017,Thu May 18 09:22:04 PDT 2017,Thu May 18 09:31:59 PDT 2017,Thu May 18 09:33:58 PDT 2017,,,,,1,2.261816666666667,[]
13,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3018Q3ZVOIQJYHG8YYBCTMC6I9ERAY,13,Approved,Fri May 19 02:13:09 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:33:09 PDT 2017,Thu May 18 09:35:07 PDT 2017,,,,,1,8.55995,[]
14,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3HMVI3QICJSW1UFUGAADQHC0H2O1YN,14,Approved,Fri May 19 02:13:25 PDT 2017,Thu May 18 09:22:04 PDT 2017,Thu May 18 09:33:25 PDT 2017,Thu May 18 09:35:08 PDT 2017,,,,,1,10.5302,[]
15,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3JV9LGBJWTEHBV1VS6MIVDI45H7OGY,15,Approved,Fri May 19 02:15:53 PDT 2017,Thu May 18 09:22:02 PDT 2017,Thu May 18 09:35:53 PDT 2017,Thu May 18 09:37:47 PDT 2017,,,,,1,4.5172,[]
16,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3H7XDTSHKCRPG4AXJSDSC7VQ8J6WGI,16,Approved,Fri May 19 02:16:18 PDT 2017,Thu May 18 09:22:04 PDT 2017,Thu May 18 09:36:18 PDT 2017,Thu May 18 09:38:26 PDT 2017,,,,,1,7.25425,[]
17,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,358UUM7WRZ31FFIARVZSJVAGH18R77,17,Approved,Fri May 19 02:16:28 PDT 2017,Thu May 18 09:22:00 PDT 2017,Thu May 18 09:36:28 PDT 2017,Thu May 18 09:38:26 PDT 2017,,,,,1,8.005916666666666,[]
18,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3HRMW88U16QW0O5Y1OI2IH6J303M0E,18,Approved,Fri May 19 02:19:24 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:39:24 PDT 2017,Thu May 18 09:41:35 PDT 2017,,,,,1,8.655633333333334,[]
19,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3VJ40NV2QINLG0N1C6LPUWXTVBFTOC,19,Approved,Fri May 19 02:19:32 PDT 2017,Thu May 18 09:28:46 PDT 2017,Thu May 18 09:39:32 PDT 2017,Thu May 18 09:41:35 PDT 2017,,,,,1,6.114433333333333,[]
20,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3GA6AFUKOOO6P23KTEK8SAWUPQOH3V,20,Approved,Fri May 19 02:20:24 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:40:24 PDT 2017,Thu May 18 09:41:35 PDT 2017,,,,,1,8.291516666666666,[]
21,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3NC5L260MOMBXV50HMG0DSIS427OFZ,21,Approved,Fri May 19 02:21:07 PDT 2017,Thu May 18 09:22:01 PDT 2017,Thu May 18 09:41:07 PDT 2017,Thu May 18 09:41:49 PDT 2017,,,,,1,6.14555,[]
22,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3BF51CHDTVAA8A4NAR2PQCYNME4H00,22,Approved,Fri May 19 02:25:57 PDT 2017,Thu May 18 09:22:01 PDT 2017,Thu May 18 09:45:57 PDT 2017,Thu May 18 09:59:36 PDT 2017,,,,,1,13.787866666666666,[]
23,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3ITXP059PWJ60PJP7TOUCVKLUYRJSU,23,Approved,Fri May 19 02:25:59 PDT 2017,Thu May 18 09:37:49 PDT 2017,Thu May 18 09:45:59 PDT 2017,Thu May 18 09:59:36 PDT 2017,,,,,1,6.289633333333334,[]
24,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,39GAF6DQWR0FX0KPBZNTJI86ZLM1VE,24,Approved,Fri May 19 02:30:31 PDT 2017,Thu May 18 09:22:01 PDT 2017,Thu May 18 09:50:31 PDT 2017,Thu May 18 09:59:36 PDT 2017,,,,,1,1.7732833333333333,[]
25,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3XUHV3NRVKY93HQO7X8177UE3MFH5L,25,Approved,Fri May 19 02:34:51 PDT 2017,Thu May 18 09:42:20 PDT 2017,Thu May 18 09:54:51 PDT 2017,Thu May 18 09:59:36 PDT 2017,,,,,1,5.054016666666667,[]
26,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3GD6L00D3SXW7DQGX7M2WMPT8S9M1H,26,Approved,Fri May 19 02:36:09 PDT 2017,Thu May 18 09:47:37 PDT 2017,Thu May 18 09:56:09 PDT 2017,Thu May 18 09:59:36 PDT 2017,,,,,1,4.6533,[]
27,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,37U1UTWH9VM5FTNT10RYXV6BSLER8U,27,Approved,Fri May 19 02:38:20 PDT 2017,Thu May 18 09:46:28 PDT 2017,Thu May 18 09:58:20 PDT 2017,Thu May 18 10:00:07 PDT 2017,,,,,1,7.848866666666667,[]
28,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3M68NM076H7IBF458LU0DHAKMQOR68,28,Approved,Fri May 19 02:43:25 PDT 2017,Thu May 18 09:52:03 PDT 2017,Thu May 18 10:03:25 PDT 2017,Thu May 18 10:34:07 PDT 2017,,,,,1,6.48105,[]
29,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3KJYX6QCM9BMSH0T1OTZNI4ST2LJVZ,29,Approved,Fri May 19 02:45:16 PDT 2017,Thu May 18 09:51:50 PDT 2017,Thu May 18 10:05:16 PDT 2017,Thu May 18 10:34:07 PDT 2017,,,,,1,8.680383333333333,[]
